City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,greenville,35.6127,-77.3663,2.01,42,0,2.06,US,1736461791
283,hithadhoo,-0.6,73.0833,27.17,77,100,2.9,MV,1736462066
284,kapuskasing,49.4169,-82.4331,-9.95,79,75,5.14,CA,1736462067
285,puiesti,46.4167,27.5,7.73,88,4,4.49,RO,1736462068
286,shohimardon,39.9839,71.8028,-0.33,28,0,6.67,UZ,1736462070
287,port lincoln,-34.7333,135.8667,20.72,62,0,4.26,AU,1736462071
288,fort bragg,35.139,-79.006,1.91,35,0,4.12,US,1736462072
289,morrilton,35.1509,-92.744,-1.85,95,100,1.04,US,1736462073
290,konarka,19.9,86.1167,16.49,66,0,3.06,IN,1736462074
291,holualoa,19.6228,-155.9522,25.91,77,20,5.66,US,1736462075
292,khanty-mansiysk,61.0042,69.0019,-7.94,86,75,6.0,RU,1736462076
293,jianguang,28.1938,115.7836,2.21,38,0,3.73,CN,1736462077
294,ketchikan,55.3422,-131.6461,9.43,93,100,11.32,US,1736462078
295,malango,-2.9627,119.9001,19.37,92,100,1.3,ID,1736462079
296,lycksele,64.5954,18.6735,-23.57,100,89,1.39,SE,1736462080
297,dabat,12.9842,37.765,10.46,48,1,0.73,ET,1736462082
298,garissa,-0.4536,39.6401,25.27,74,94,5.01,KE,1736462083
299,villamontes,-21.25,-63.5,27.54,41,52,2.18,BO,1736462084
300,saint-francois,46.4154,3.9054,2.69,88,0,1.03,FR,1736462085
301,ulladulla,-35.35,150.4667,22.21,74,100,3.56,AU,1736462086
302,belfast,54.5833,-5.9333,-2.1,93,0,1.54,GB,1736462087
303,okha,53.5739,142.9478,-20.55,94,80,7.0,RU,1736462088
304,kisangani,0.5167,25.2,23.08,67,91,0.5,CD,1736462089
305,beboto,8.2668,16.939,20.94,23,33,2.42,TD,1736462090
306,sokcho,38.2083,128.5911,-8.66,35,0,5.14,KR,1736462091
307,ust'-ilimsk,58.0006,102.6619,-15.7,98,100,2.04,RU,1736462092
308,amherst,41.3978,-82.2224,-6.78,51,0,3.09,US,1736462093
309,nuuk,64.1835,-51.7216,-4.66,68,59,8.23,GL,1736462095
310,kruisfontein,-34.0033,24.7314,18.66,83,23,3.66,ZA,1736462096
311,aykhal,66.0,111.5,-21.66,100,100,0.3,RU,1736462097
312,ustka,54.5805,16.8619,1.1,100,100,9.63,PL,1736462098
313,ust'-kulom,61.6864,53.6902,-8.21,84,91,5.68,RU,1736462099
314,rouyn-noranda,48.2398,-79.0288,-13.95,51,20,2.57,CA,1736461864
315,maamba,-17.3667,27.15,21.01,91,99,1.18,ZM,1736462101
316,pontianak,-0.0333,109.3333,23.99,100,40,2.06,ID,1736462102
317,cacador,-26.7753,-51.015,16.39,98,98,1.74,BR,1736462103
318,alofi,-19.0595,-169.9187,26.94,83,75,3.6,NU,1736462104
319,rehoboth,-23.3167,17.0833,24.91,27,94,2.75,NA,1736462105
320,ndungu,-4.3667,38.05,21.57,98,90,1.29,TZ,1736462106
321,mount gambier,-37.8333,140.7667,26.74,35,100,2.38,AU,1736462107
322,palmer,42.1584,-72.3287,-3.8,54,89,2.68,US,1736462108
323,hadibu,12.65,54.0333,22.19,73,3,4.68,YE,1736462109
324,chibougamau,49.9168,-74.3659,-8.21,93,100,7.2,CA,1736462111
325,belmonte,-15.8631,-38.8828,24.58,92,100,2.49,BR,1736462112
326,lerdo de tejada,18.6167,-95.5167,23.3,83,50,2.0,MX,1736462114
327,perm,58.0174,56.2855,0.7,75,100,6.0,RU,1736462115
328,yahotyn,50.2798,31.7625,3.86,91,60,5.8,UA,1736462116
329,manakara,-22.1333,48.0167,24.6,94,7,1.93,MG,1736462117
330,lata,40.1629,-8.3327,11.97,83,62,1.6,PT,1736462119
331,kencong,-8.2833,113.3667,25.59,84,100,0.72,ID,1736462120
332,gaoping,30.7758,106.1029,6.62,89,97,1.18,CN,1736462121
333,waddan,29.1614,16.139,10.28,55,0,1.34,LY,1736462122
334,ola,59.5833,151.2833,-20.49,83,8,3.65,RU,1736462123
335,bayganin,48.6947,55.8742,-6.48,86,47,4.24,KZ,1736462125
336,castillos,-34.1667,-53.8333,19.56,76,80,4.36,UY,1736462126
337,bonthe,7.5264,-12.505,26.24,86,86,2.55,SL,1736462127
338,keflavik,64.0049,-22.5624,1.24,75,75,4.63,IS,1736462128
339,vatra dornei,47.35,25.3667,5.32,91,40,2.69,RO,1736462129
340,andergrove,-21.0833,149.1833,26.72,73,82,3.3,AU,1736462130
341,las choapas,17.9333,-94.0833,22.18,92,95,1.66,MX,1736462131
